                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,Character,DelayAtEnd,Expression,French,English,German,Spanish,Brasilian,Chinese,Italian,Russian,Korean,Japanese
Chap03LookForPhone01,Sherluck,2,,Mais qu'ai-je fait de cette loupe ?,Şu büyüteç nerede.,Wo ist diese verdammte Lupe?,¿Dónde está esa lupa?,Cadê aquela lupa?,我把放大镜弄到哪里去了？,Dov'è quella lente d'ingrandimento?,Где эта лупа?,돋보기가 어디있지?,あの虫メガネはどこにいった？
Chap03LookForPhone02,Sherluck,5,,Je vais bien finir par la retrouver.,Eninde sonunda onu bulacağım.,Irgendwann werde ich sie finden.,Acabaré por encontrarla.,"Eventualmente, eu irei encontrá-la.",我最终会找到它的。,Prima o poi la troverò.,"Всё равно, я найду её.",꼭 찾고야 말 거야.,どこかにはあるはずだが。
Chap03LookForPhone03,Sherluck,0,,Encore heureux qu'il y ait de la lumière.,Neyse ki ışığımız var.,Zum Glück haben wir ja Licht.,"Por suerte, tenemos luz.","Por sorte, nós temos luz.",还好有点光线。,Per fortuna abbiamo la luce.,"Хорошо, что у нас есть свет.",다행히 빛이 있군.,幸い明かりはある。
Chap03ClicPhone10,Narrator,0.3,,Vous essayez de passer un coup de fil ?,Birini mi arayacaksın?,"Versuchst du, jemanden anzurufen?",¿Estás tratando de llamar por teléfono?,Você está tentando fazer uma ligação?,你是想要打电话吗？,Stai cercando di fare una telefonata?,Ты пытаешься позвонить?,전화를 하려고요?,電話をかけようとしてるのか？
Chap03ClicPhone11,Narrator,0.5,,Vous voyez bien que c'est trop petit.,Orayı göremezsin çok küçük.,"Man sieht, dass es viel zu klein ist.","Como ves, es demasiado pequeño.",Isso é pequeno demais.,你看到它有多小吧！,Non vedi che è troppo piccolo.,"Сам видишь, здесь ничего не разглядеть.",너무 작은 건 못 봐요.,あれじゃ小さすぎるだろ。
Chap03ClicPhone12,Narrator,1,,Ce n'est qu'une bouillie de pixels.,Tam bir piksel çorbası.,Es ist einfach nur Pixelbrei.,Solo es un puñado de píxeles.,É apenas um mingau de pixels.,那电话只是像素粥。,È solo una poltiglia di pixel.,Просто пиксельная каша.,그냥 픽셀 덩어리에요.,ただのピクセルの塊だ。
Chap03ClicPhone13,Narrator,0,,Si seulement on avait quelque chose pour se rapprocher.,Keşke elimizde yakınlaştırmak için kullanabileceğimiz bir şey olsaydı.,"Wenn wir doch nur etwas hätten, um es zu vergrößern.",Si pudiéramos usar algo para verlo más de cerca.,Se nós ao menos tivéssemos algo que pudéssemos usar para dar zoom.,要是我们有个什么东西用来把它放大就好了。,Se solo avessimo qualcosa per ingrandire.,"Если бы у нас было что-то, чем можно увеличить.",뭔가 확대할만한 게 있었다면 좋을텐데.,何か拡大できる道具があればな。
Chap03MoonBack01,Narrator,0,,"Vous venez de plonger nos amis de nouveau dans le noir, utilisateur.","Az önce arkadaşlarımızı karanlıkta bıraktın, kullanıcı.","Du hast unsere Freunde gerade im Dunkeln stehen lassen, User.","Acabas de dejar a nuestros amigos a oscuras, usuario.","Você acabou de deixar os nossos amigos no escuro, usuário.",用户，你又让我们的伙伴们陷入黑暗了。,"Hai appena gettato i nostri amici nell'oscurità, utente.","Ты только что оставил наших друзей в темноте, пользователь.","우리 친구들을 어둠 속에 던져놨네요, 유저님.",これであいつら、暗闇に取り残されたぞ。
Chap03MoonBack02,Narrator,1,,Ce n'est pas très sympa.,Bu pek hoş değildi.,Das ist nicht sehr nett.,Eso no ha sido muy amable por tu parte.,Isso não foi muito legal.,这样可不够友好呢。,Non è molto carino.,Это не очень хорошо.,정말 나쁜 짓이에요.,あんたもワルだな。
Chap03MoonBack03,Narrator,0,,"Remarquez, ça ne m'étonne même plus de vous.",Senin yaptığın hiçbir şeyin artık beni şaşırtmadığını hatırlatmak isterim.,"Mich überrascht wohlgemerkt nichts mehr, was du tust.","Aunque eso sí, ya nada de lo que haces me sorprende.","Pra te lembrar, nada mais do que você faz me surpreende.",要知道...你现在做什么我都不会感到惊奇了...,"Comunque, niente di quello che fai mi sorprende più.","Хотя, ты меня уже больше ничем не удивишь.",사실 이젠 무슨 짓을 해도 놀랄 게 없을 거 같네요.,まあいいさ、今さら何をしたって俺はおどろかん。
Chap03Stamp01,Narrator,0.3,,Vous essayez de coller un timbre sur ce mécanisme ?,O cihaza bir pul mu yapıştırmaya çalışıyorsun.,"Versuchst du, eine Briefmarke auf dieses Gerät zu kleben?",¿Estás intentando pegar un sello en ese dispositivo?,Você está tentando colar um selo nesse dispositivo?,你这是要把邮票贴到那个设备上吗？,Stai cercando di attaccare un francobollo su quell’apparecchio?,Ты пытаешься приклеить марку к этому устройству?,저 장치에다가 우표 붙이려고 한 거예요?,その機械に切手を貼ろうとしてるのか？
Chap03Stamp02,Narrator,0.5,,"Premièrement, pour coller un timbre, il faut l'humidifier.","Öncelikle, bir şeye pul yapıştırmak istiyorsan o pulu yalaman gerekir.","Um eine Briefmarke auf etwas zu kleben, muss man sie zuerst nass machen.","En primer lugar, para pegar un sello en algo hay que mojarlo.","Em primeiro lugar, para colar um selo em alguma coisa, você precisa molhá-lo.",首先，你得把邮票弄湿，它才能粘的起来。,"Prima di tutto, perché un francobollo si attacchi, bisogna inumidirlo.","Во-первых, чтобы приклеить марку к чему-нибудь, её нужно намочить.","일단, 우표를 붙이려면 우표를 적셔야 해요.",第一に、切手は濡らしてからじゃないと貼れないぞ。
Chap03Stamp03,Narrator,0,,"Deuxièmement, c'est complètement crétin !",Sonralıkla bu aptalca bir fikir.,Zweitens ist das eine dumme Idee!,"En segundo lugar, ¡la idea es una memez!","Em segundo lugar, é uma ideia idiota!",其次嘛...那是个笨主意！,"Secondo, è un'idea stupida!","Во-вторых, это глупая идея!","두 번째로, 별로 좋은 생각 아니에요!",第二に、ばかげてる！
Chap03IntroSecret01,Narrator,0.5,,Hum....,Imm...,Ähm ...,Hum...,Hmm...,呃...,Um...,Э-э-э...,어...,んんん…
Chap03IntroSecret02,Narrator,2,,Le jeu a planté ?,Oyun mu çöktü?,Ist das Spiel abgestürzt?,¿Se ha colgado el juego?,O jogo caiu?,游戏有崩溃吗？,Il gioco è andato in crash?,Игра сломалась?,지금 게임 크래시 난 건가요?,ゲームクラッシュか？
Chap03IntroSecret02b,Narrator,1,,Echo ! Echo ! Echo !,Eko! Eko! Eko!,Echo! Echo! Echo!,¡Eco! ¡Eco! ¡Eco!,Eco! Eco! Eco!,回声！回声！回声！,Eco! Eco! Eco!,Эхо! Эхо... эхо...,야호! 야호! 야호!,おーい… ぉーぃ… ぉーぃ…
Chap03IntroSecret03,Narrator,0.5,,Ha je crois savoir où nous sommes !,Ha! Sanırım nerede olduğumuzu biliyorum.,"Ha! Ich glaube, ich weiß, wo wir sind!",¡Ja! ¡Creo que sé dónde estamos!,Rá! Eu acho que sei onde estamos!,哈！我想我知道我们在哪儿！,Ah! Credo di sapere dove siamo!,"Ха! Кажется, я знаю, где мы!",하! 어디에 있는지 알 거 같아요!,ああ！ ここがどこだかわかったぞ。
Chap03IntroSecret04,Narrator,0.3,,Il s'agit d'un dictionnaire !,Burası bir sözlük.,Es ist ein Lexikon!,¡Es un diccionario!,É um dicionário!,这是本字典！,È un dizionario!,Это словарь!,여긴 사전이에요!,ライブラリだ！
Chap03IntroSecret05,Narrator,0.5,,C'est ici que sont stockés tous les objets qui serviront au jeu.,Yani oyunda kullanılan her şeyin depolandığı yer.,"Hier werden alle Dinge gespeichert, die im Spiel verwendet werden.",Aquí es donde se almacenan todas las cosas que se usan en el juego.,Aqui é onde todas as coisas que são usadas no jogo ficam guardadas.,游戏中会用到的所有物品都存放在这里。,Qui sono memorizzate tutte le cose che vengono utilizzate nel gioco.,"Здесь хранятся все элементы, которые используются в игре.",게임 내에 쓰이는 모든 게 여기 저장되죠.,このゲームに出てくる物がすべて格納されてる所。
Chap03IntroSecret06,Narrator,0,,Une sorte de bibliothèque cachée.,Bir tür gizli kütüphane gibi.,Eine Art verborgene Bibliothek.,Una especie de biblioteca oculta.,É tipo uma livraria escondida.,就像个秘库。,Una specie di biblioteca nascosta.,Своего рода скрытая библиотека.,일종의 숨겨진 라이브러리 같은 곳이에요.,隠し倉庫みたいなもんだ。
Chap03IntroSecret07,Narrator,2,,Seuls les développeurs ont accès à cette partie.,Bu bölüme yalnızca yapımcılar ulaşabilir.,Nur die Entwickler haben Zugang zu diesem Bereich.,Solo los desarrolladores pueden acceder a esta sección.,Somente os desenvolvedores podem acessar essa seção.,只有开发员可以访问这部分。,Solo gli sviluppatori possono accedere a questa sezione.,Только разработчики могут получить доступ к этой секции.,개발자만 여기 들어올 수 있죠.,開発者しかアクセスできない。
Chap03IntroSecret08,Narrator,0,,D'où la trappe sécurisée je suppose.,Bu yüzden de güvenlik kapısını koymuşlar sanırım.,"Daher die Sicherheitsluke, schätze ich.","De ahí la compuerta de seguridad, supongo.","Por isso a existência da escotilha de segurança, eu suponho.",我猜，这就是为什么这儿有个安全舱口吧。,"Per questo c’è il portello, suppongo.","Отсюда и этот секретный люк, я полагаю.",그래서 막아놓은 거 같은데.,あの隠しハッチも、たぶんそうだ。
Chap03PhoneNumber01,Narrator,0.2,,Joli zoom avant utilisateur.,Güzel yakınlaştırma kullanıcı.,"Nette Vergrößerung, User.","Buena ampliación, usuario.","Belo zoom, usuário.",放大得不错，用户。,"Bello zoom in avanti, utente.","Отличный зум, пользователь.","잘 했어요, 유저님.",いいぞ、これでよく見える。
Chap03PhoneNumber01b,Narrator,0.5,,Je savais qu'avoir cette loupe était une bonne idée !,O büyütecin iyi bir fikir olduğunu biliyordum.,"Ich wusste doch, dass diese Lupe eine gute Idee war!",¡Ya sabía yo que la lupa era una buena idea!,Eu sabia que essa lupa era uma boa ideia!,我知道用那个放大镜是个不错的主意！,Sapevo che quella lente d'ingrandimento era una buona idea!,"Я знал, что увеличительное стекло - хорошая идея!",그 돋보기 가져오는 게 좋은 생각일 줄 알았어요!,あの虫メガネは使えそうだって俺も思ってたよ！
Chap03PhoneNumber02,Narrator,0.5,,"Bon, ce téléphone est étrange.","Eh, bu telefon gerçekten garip.","Nun, dieses Telefon ist jedenfalls ziemlich merkwürdig.","Bueno, este teléfono es raro.","Bem, esse telefone é bem estranho.",唉，这个电话的确怪。,"Beh, questo telefono è davvero strano.","Ну, этот телефон довольно странный.","음, 전화기가 조금 이상하네요.",ううむ、どうも変てこな電話だな。
Chap03PhoneNumber03,Narrator,0,,"On se croirait dans une énigme de ""Myst"".",“Myst” bulmacalarına benziyor.,Es ist wie ein „Myst“-Rätsel.,"Es como un rompecabezas de ""Myst"".",Parece um quebra-cabeça de “Myst”.,就像一个“神秘岛”谜题。,"È come un puzzle di ""Myst"".","Прямо как в головоломке ""Myst"".","""미스트"" 에 나오는 퍼즐 같아요.",Mystのパズルみたいだ。
Chap03PhoneNumber10,Narrator,1,,Cet appareil n'a pas l'air alimenté.,Bu cihaz açık görünmüyor.,Dieses Gerät scheint nicht eingeschaltet zu sein.,Este dispositivo no parece estar encendido.,Esse dispositivo não parecer estar ligado.,这个设备不像是开着的。,Questo dispositivo non è alimentato.,"Кажется, это устройство не включено.",장치가 안 켜지네요.,こいつはどこにもつながってないみたいだ。
Chap03PhoneNumber11,Narrator,0,,Après si ça vous amuse de tourner une roue...,Ama bir tekerleği döndürmeyi seviyorsan...,Aber wenn du gerne an einem Rad drehst ...,Pero si te gusta girar ruedecitas...,Mas se você gosta de girar discos...,但如果你喜欢转轮子...,Ma se ti piace girare una ruota...,Но если тебе нравится крутить колесо...,하지만 바퀴를 돌리면...,ダイヤルを回すのが好きなら止めないが…
Chap03PhoneCompose01,Narrator,0.2,,Mais qui voulez-vous appeler avec ce truc ?,Bu şeyle kimi arayacaksın?,Wen willst du mit diesem Ding anrufen?,¿A quién vas a llamar con la cosa esta?,Pra quem você vai ligar com isso?,你打算用这个东西给谁打电话？,Chi vuoi chiamare con questa cosa?,Кому ты собираешься звонить по... этой штуке?,이걸로 누구한테 전화하려고요?,誰に電話をかけようっていうんだ？
Chap03PhoneCompose02,Narrator,1,,On ne connait personne ici.,Burada kimseyi tanımıyoruz.,Wir kennen hier niemanden.,No conocemos a nadie aquí.,Nós não conhecemos ninguém aqui.,我们不认识这里的任何人。,Non conosciamo nessuno qui.,Мы же здесь никого не знаем.,아무도 모르잖아요.,知り合いもいないのに。
Chap03PhoneCompose03,Narrator,0,,Et il a dit qu'il n'y avait qu'un seul exemplaire de cet appareil.,Ve az önce türünün tek örneği olduğunu söyledi.,"Und er meinte, es sei das einzige seiner Art.",Y dijo que es el único que existe.,E ele disse que é o único protótipo que existe.,而且他说了这个东西只有这么一个。,E lui ha detto che è l’unico esistente.,"И он сказал, что эта единственная в своём роде.",게다가 홈즈 말로는 세상에 단 하나 뿐이라던데.,それにこういう機械は1台しかないんだろ。
Chap03EyeSpotted01,Narrator,0.5,,"Utilisateur, je crois que vous avez perdu un oeil.","Kullanıcı, sanırım bir göz kaybettin.","User, ich glaube, du hast ein Auge verloren.","Usuario, creo que has perdido un ojo.","Usuário, eu acho que você ficou cego de um olho.",用户，我想你是掉了一只眼睛。,"Utente, credo che tu abbia perso un occhio.","Пользователь, кажется, у тебя выпал глаз.","유저님, 눈이 떨어진 거 같은데요.",ユーザー、目玉が片方なくなってるぞ。
